	CGGA_28	CGGA_42	CGGA_1155	CGGA_1191	CGGA_1264
A2M	3058.778803	4368.75283	5669.190531	2134.196705	5993.574742
AAGAB	455.6685649	537.4357601	429.5394414	335.0753109	407.5861378
ABCA7	919.6220127	433.5356361	2485.974728	109.2811566	885.1618144
ABCC1	512.0057692	651.849587	487.9470708	1261.554528	545.0949964
ABCC3	329.7383433	34.63337464	104.6470027	63.47949536	44.46394231
ABCC4	144.1569642	337.0569496	259.1838556	419.4467921	277.4879362
ABHD14B	1062.122	524.4482446	1785.083174	497.3899699	585.441907
ABI3	518.6336756	299.3313094	748.347752	103.6563911	279.1347489
AC092111.1	0	1.855359356	0	3.214151664	1.646812678
ACAD8	695.9301718	967.2606775	722.7944142	1086.383262	1026.787705